img, proc, rep, iter, time
0, 6, 0, 20000,  0.484882
0, 6, 1, 20000,  0.484045
0, 6, 2, 20000,  0.476187
0, 6, 3, 20000,  0.474954
0, 6, 4, 20000,  0.472836
0, 6, 5, 20000,  0.476942
0, 12, 0, 20000,  0.429680
0, 12, 1, 20000,  0.435059
0, 12, 2, 20000,  0.432596
0, 12, 3, 20000,  0.433619
0, 12, 4, 20000,  0.432500
0, 12, 5, 20000,  0.428219
0, 18, 0, 20000,  0.358061
0, 18, 1, 20000,  0.362456
0, 18, 2, 20000,  0.355288
0, 18, 3, 20000,  0.365602
0, 18, 4, 20000,  0.363863
0, 18, 5, 20000,  0.356606
0, 24, 0, 20000,  0.349166
0, 24, 1, 20000,  0.352121
0, 24, 2, 20000,  0.352151
0, 24, 3, 20000,  0.355296
0, 24, 4, 20000,  0.352505
0, 24, 5, 20000,  0.348576
0, 30, 0, 20000,  0.339834
0, 30, 1, 20000,  0.343903
0, 30, 2, 20000,  0.345409
0, 30, 3, 20000,  0.342918
0, 30, 4, 20000,  0.344508
0, 30, 5, 20000,  0.347900
0, 36, 0, 20000,  0.333437
0, 36, 1, 20000,  0.339418
0, 36, 2, 20000,  0.336574
0, 36, 3, 20000,  0.336733
0, 36, 4, 20000,  0.338943
0, 36, 5, 20000,  0.336204
1, 6, 0, 20000,  0.664430
1, 6, 1, 20000,  0.656616
1, 6, 2, 20000,  0.658335
1, 6, 3, 20000,  0.660486
1, 6, 4, 20000,  0.659945
1, 6, 5, 20000,  0.656985
1, 12, 0, 20000,  0.511518
1, 12, 1, 20000,  0.512613
1, 12, 2, 20000,  0.514305
1, 12, 3, 20000,  0.512242
1, 12, 4, 20000,  0.512415
1, 12, 5, 20000,  0.510574
1, 18, 0, 20000,  0.396479
1, 18, 1, 20000,  0.407345
1, 18, 2, 20000,  0.403232
1, 18, 3, 20000,  0.397779
1, 18, 4, 20000,  0.415800
1, 18, 5, 20000,  0.407848
1, 24, 0, 20000,  0.391205
1, 24, 1, 20000,  0.395049
1, 24, 2, 20000,  0.392411
1, 24, 3, 20000,  0.392666
1, 24, 4, 20000,  0.385948
1, 24, 5, 20000,  0.394778
1, 30, 0, 20000,  0.380354
1, 30, 1, 20000,  0.381009
1, 30, 2, 20000,  0.381055
1, 30, 3, 20000,  0.377973
1, 30, 4, 20000,  0.378741
1, 30, 5, 20000,  0.374988
1, 36, 0, 20000,  0.372671
1, 36, 1, 20000,  0.378682
1, 36, 2, 20000,  0.370032
1, 36, 3, 20000,  0.372468
1, 36, 4, 20000,  0.378711
1, 36, 5, 20000,  0.376072
2, 6, 0, 20000,  1.425725
2, 6, 1, 20000,  1.428439
2, 6, 2, 20000,  1.428274
2, 6, 3, 20000,  1.428274
2, 6, 4, 20000,  1.428228
2, 6, 5, 20000,  1.427420
2, 12, 0, 20000,  1.006384
2, 12, 1, 20000,  1.010182
2, 12, 2, 20000,  1.009799
2, 12, 3, 20000,  1.008346
2, 12, 4, 20000,  1.007782
2, 12, 5, 20000,  1.004790
2, 18, 0, 20000,  0.734731
2, 18, 1, 20000,  0.739783
2, 18, 2, 20000,  0.739453
2, 18, 3, 20000,  0.743648
2, 18, 4, 20000,  0.731342
2, 18, 5, 20000,  0.733131
2, 24, 0, 20000,  0.655179
2, 24, 1, 20000,  0.653895
2, 24, 2, 20000,  0.659662
2, 24, 3, 20000,  0.644813
2, 24, 4, 20000,  0.653245
2, 24, 5, 20000,  0.657366
2, 30, 0, 20000,  0.587125
2, 30, 1, 20000,  0.585388
2, 30, 2, 20000,  0.589404
2, 30, 3, 20000,  0.585913
2, 30, 4, 20000,  0.586531
2, 30, 5, 20000,  0.590661
2, 36, 0, 20000,  0.537304
2, 36, 1, 20000,  0.549458
2, 36, 2, 20000,  0.546111
2, 36, 3, 20000,  0.549983
2, 36, 4, 20000,  0.548359
2, 36, 5, 20000,  0.551849
3, 6, 0, 20000,  3.449574
3, 6, 1, 20000,  3.446878
3, 6, 2, 20000,  3.444089
3, 6, 3, 20000,  3.444306
3, 6, 4, 20000,  3.451255
3, 6, 5, 20000,  3.445291
3, 12, 0, 20000,  1.884269
3, 12, 1, 20000,  1.873665
3, 12, 2, 20000,  1.875673
3, 12, 3, 20000,  1.874927
3, 12, 4, 20000,  1.875633
3, 12, 5, 20000,  1.873171
3, 18, 0, 20000,  1.339738
3, 18, 1, 20000,  1.341531
3, 18, 2, 20000,  1.329139
3, 18, 3, 20000,  1.332581
3, 18, 4, 20000,  1.333944
3, 18, 5, 20000,  1.333314
3, 24, 0, 20000,  1.132902
3, 24, 1, 20000,  1.136352
3, 24, 2, 20000,  1.132006
3, 24, 3, 20000,  1.134778
3, 24, 4, 20000,  1.133822
3, 24, 5, 20000,  1.141118
3, 30, 0, 20000,  1.018803
3, 30, 1, 20000,  1.014128
3, 30, 2, 20000,  1.009640
3, 30, 3, 20000,  1.018838
3, 30, 4, 20000,  1.015985
3, 30, 5, 20000,  1.008283
3, 36, 0, 20000,  0.955536
3, 36, 1, 20000,  0.958047
3, 36, 2, 20000,  0.953443
3, 36, 3, 20000,  0.959528
3, 36, 4, 20000,  0.961620
3, 36, 5, 20000,  0.957866
